race,date,year,month,day,time,hour
Emilia Romagna Grand Prix,18/04/2021,2021,4,18,14:00,14
Spanish Grand Prix,09/05/2021,2021,5,9,14:00,14
Monaco Grand Prix,23/05/2021,2021,5,23,14:00,14
Azerbaijan Grand Prix,06/06/2021,2021,6,6,13:00,13
Canadian Grand Prix,13/06/2021,2021,6,13,19:00,19
French Grand Prix,27/06/2021,2021,6,27,14:00,14
Austrian Grand Prix,04/07/2021,2021,7,4,14:00,14
British Grand Prix,18/07/2021,2021,7,18,15:00,15
Hungarian Grand Prix,01/08/2021,2021,8,1,14:00,14
Belgian Grand Prix,29/08/2021,2021,8,29,14:00,14
Dutch Grand Prix,05/09/2021,2021,9,5,14:00,14
Italian Grand Prix,12/09/2021,2021,9,12,14:00,14
Russian Grand Prix,26/09/2021,2021,9,26,13:00,13
Singapore Grand Prix,03/10/2021,2021,10,3,13:00,13
Japanese Grand Prix,10/10/2021,2021,10,10,06:00,16
United States Grand Prix,24/10/2021,2021,10,24,20:00,20
Mexican Grand Prix,31/10/2021,2021,10,31,19:00,19
Brazilian Grand Prix,07/11/2021,2021,11,7,17:00,17
Australian Grand Prix,21/11/2021,2021,11,21,06:00,6
Saudi Arabian Grand Prix,05/12/2021,2021,12,5,16:00,16
Abu Dhabi Grand Prix,12/12/2021,2021,12,12,13:00,13
